Cow,Treat,Birth,AgeDay,AgeYear,Parity ,IA,DryPeriod,DIM,DIM305,TotMilk,Calving,CalvingTime,ColWeight,Brix,IcaCalve,IcaMilk,Breed,Sex,CalfWeight ,Calving difficulty,Fat,Protein,Lactose,SNF,SCC,MUN,MonoUnsaturatedFA,PolyUnsaturatedFA,SaturatedFA,TotalUnsaturatedFA,SCFA,MCFA,LCFA,Trans FA,Aceton,BHB,C14,C16,C18,C18.1,DSCC,DeNovoFa,MixeFA,PreformFa
8811,DCAD,2/9/2017,1045,2.863013699,2,3/21/2019,46,312,49710,31710,43820,8:30:00 PM,6.3,20.9,1.2,.,Hostein,M,42.637648,1,1.15,12.3,2.38,17.2,665,35.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
8719,DCAD,11/19/2016,1128,3.090410959,2,3/21/2019,48,378,37590,35500,43821,3:00:00 PM,20.9,24.5,1.06,1.05,Angus,F,34.472992,1,.,.,.,.,2066,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
8788,X-Zelit,1/16/2017,1071,2.934246575,2,3/21/2019,49,311,26310,20760,43822,5:00:00 AM,5.55,27.3,1.05,1.03,Hostein,F,38.55532,1,.,.,.,.,5472,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
8359,Control,11/4/2015,1510,4.136986301,3,3/21/2019,75,393,29760,29910,43822,7:45:00 AM,6.05,26.9,0.64,0.63,Hostein,M,48.080752,2,.,.,.,.,1115,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
7866,Control,5/3/2014,2060,5.643835616,4,3/21/2019,49,375,32030,35500,43822,12:15:00 PM,11.75,30.1,0.94,0.87,Angus,M,47.173568,1,.,.,.,.,1750,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
8792,Control,1/18/2017,1070,2.931506849,2,3/21/2019,50,309,32670,25520,43823,12:30:00 PM,13.85,28.2,0.99,0.97,Hostein,M,52.16308,1,.,.,.,.,1861,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
7780,Control,1/18/2014,2167,5.936986301,5,3/21/2019,79,316,27430,27600,43824,7:00:00 AM,8.75,32,0.6,0.59,Angus,M,40.82328,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
8329,DCAD,10/11/2015,1536,4.208219178,3,3/21/2019,49,313,35010,33560,43824,10:20:00 PM,6.05,30,0.81,0.64,Hostein,M,44.905608,1,.,.,.,.,742,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
7350,DCAD,10/26/2002,6270,17.17808219,6,3/21/2019,52,309,44560,45350,43825,4:00:00 PM,17,27.2,1.06,0.75,Hostein,M,39.008912,1,4.6,18.06,1.22,22.78,2331,41.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
8825,X-Zelit,2/20/2017,1040,2.849315068,2,3/21/2019,53,306,29660,22360,43826,7:00:00 AM,24,26.8,1.21,1.15,Hostein,F,43.09124,1,3.54,16.33,2.4,21.7,1144,45.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
8069,X-Zelit,12/17/2014,1837,5.032876712,3,3/21/2019,54,342,20330,21320,43827,7:00:00 AM,8.6,30.8,1.16,1.17,XB,M,43.998424,1,2.45,4.81,1.15,8.18,898,7.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
6805,X-Zelit,1/23/2011,3262,8.936986301,6,3/21/2019,62,392,41590,71720,43828,5:00:00 AM,19.7,29.9,0.89,0.87,XB,M,46.266384,1,4.25,11.02,1.32,14.99,6878,33.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
8741,Control,12/6/2016,1120,3.068493151,2,3/21/2019,55,309,33010,25690,43830,6:30:00 AM,3.65,16.5,1.08,1.07,Hostein,M,54.43104,1,4.99,8.61,3.32,13.82,1306,24.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
8714,DCAD,11/18/2016,1139,3.120547945,2,3/28/2019,51,386,33480,30650,43831,7:00:00 AM,16,27,0.97,0.92,Hostein,M,40.82328,1,7.8,15.87,2.72,21.08,1819,43.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
8702,X-Zelit,11/6/2016,1151,3.153424658,2,3/21/2019,58,380,31560,29960,43831,9:00:00 AM,10.75,22.8,1.19,1.1,Angus,M,45.3592,1,6.63,12.79,2.86,18.02,962,32.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
8448,DCAD,1/28/2016,1435,3.931506849,3,4/4/2019,43,307,34679,31870,43832,9:50:00 PM,5.8,22.6,1.08,0.98,Hostein,F,42.184056,1,7.95,12.62,2.6,17.54,1674,40.2,1.76,0.31,6.03,1.524,0.48,6.28,1.6,0.09,0,0,1.326,3.176,0.466,1.208,52.3,2.939,4.447,0.066
7965,DCAD,9/13/2014,1938,5.309589041,4,4/4/2019,46,308,37930,37030,43833,5:30:00 AM,20.7,26.9,0.71,0.61,Hostein,F,40.82328,1,4.46,16,2.08,20.93,3795,40.4,1.02,0.38,4.08,0.158,0.08,4.7,0.11,0.25,0,0,1.16,1.841,0.367,0.274,49.2,2.129,2.178,0
8367,DCAD,11/11/2015,1515,4.150684932,3,3/28/2019,55,393,34160,33510,43834,7:00:00 PM,28.8,21.4,1.07,1.06,Hostein,M,44.452016,1,1.62,12.7,2.46,18.05,821,34.2,0.34,0.22,1.6,0,0.03,2.25,0.2,0.12,0,0,0.458,0.401,0.264,0.17,86.9,0.901,1.005,0
8827,DCAD,2/22/2017,1047,2.868493151,2,4/10/2019,46,302,33320,25230,43835,12:30:00 PM,26.6,22,1.15,1.06,Hostein,M,0,2,3.28,12.55,2.6,17.63,1047,32.2,0.53,0.27,3.22,0,0.06,3.86,0,0.16,0,0,0.866,1.61,0.23,0.12,57.8,1.713,2.175,0
8734,Control,12/1/2016,1130,3.095890411,2,4/4/2019,46,382,39970,39220,43835,9:45:00 PM,35.55,17.9,0.99,0.87,Hostein,F,37.648136,1,2.16,10.1,3.48,15.77,263,25.5,0.38,0.21,2.06,0,0.06,2.57,0,0.13,0,0,0.608,0.95,0.23,0.158,57.9,1.17,1.388,0
8747,X-Zelit,12/11/2016,1121,3.071232877,2,3/28/2019,61,336,34170,28680,43836,6:00:00 AM,2.7,28.8,1.19,1.06,Hostein,M,0,1,0.92,18.07,1.7,23.23,4443,48.8,0,0.42,2.46,0,0,3.63,0,0.31,0,0,1.1,1.652,0.13,0,84.6,2.324,2.281,0
8410,X-Zelit,12/23/2015,1475,4.04109589,3,4/4/2019,49,311,32890,31010,43836,11:45:00 AM,4.7,33.1,1.02,1.06,Hostein,F,42.184056,1,2.87,15.5,2.19,20.84,125,43.2,0.55,0.3,2.78,0,0.01,3.69,0,0.17,0,0,0.792,1.348,0.344,0.135,0,1.475,1.61,0
8317,Control,10/3/2015,1556,4.263013699,3,3/28/2019,56,375,39350,24540,43836,4:45:00 PM,20.68,25.5,0.95,0.94,Angus,M,49.441528,1,3.23,16.82,2.32,22.22,1265,50.6,0.51,0.38,3.57,0,0,4.63,0,0.25,0,0,1.174,1.744,0.25,0,79.2,2.056,2.289,0
8064,X-Zelit,12/14/2014,1850,5.068493151,4,3/28/2019,57,306,33690,33430,43837,2:30:00 AM,5.64,27.2,1.01,0.87,Hostein,F,48.080752,1,3.6,16.69,1.89,21.53,3098,45.3,0.56,0.42,3.94,0,0.04,4.72,0,0.37,0,0,1.356,1.703,0.33,0,42.4,2.389,1.906,0
7954,X-Zelit,8/27/2014,1960,5.369863014,4,4/4/2019,51,387,38420,44820,43838,5:30:00 AM,13.05,26.7,0.94,0.92,Hostein,M,48.534344,1,1.48,16.36,2.19,21.79,2313,35.3,0,0.38,2.7,0,0,3.67,0,0.32,0,0,1.029,1.732,0.216,0,79,2.159,1.216,0
8476,Control,3/5/2016,1404,3.846575342,3,4/4/2019,77,285,30120,25660,43838,8:00:00 AM,10,31.3,1.02,1,Hostein,M,44.452016,1,3.09,18.44,2.2,23.95,1227,42.7,0.38,0.41,3.71,0,0,4.72,0,0.3,0,0,1.247,2.017,0.279,0,50.6,2.443,2.196,0
8122,X-Zelit,2/16/2015,1789,4.901369863,4,4/4/2019,53,306,38780,37370,43840,8:00:00 AM,28.75,25.6,1,1.3,Hostein,F,0,1,5.39,15,2.56,20.25,1615,49.2,1.24,0.34,4.51,0.61,0.19,5.35,0.77,0.11,0,0,1.136,2.004,0.311,0.719,55.7,2.282,2.924,0
7783,Control,1/21/2014,2180,5.97260274,5,4/11/2019,46,344,25580,27680,43840,2:00:00 PM,6.55,32,0.59,1.25,Hostein,F,33.565808,1,3.58,14.65,2.9,20.05,.,41.9,0.54,0.4,4.12,0,0.06,4.57,0,0.34,0,0,1.238,2.163,0.413,0,0,2.333,1.981,0
8489,X-Zelit,3/18/2016,1395,3.821917808,3,4/25/2019,53,292,28620,24620,43842,4:45:00 PM,22.05,20.8,1.13,1.03,Hostein,F,34.472992,1,1.26,11.42,3.66,17.3,397,42.5,0.19,0.2,1.66,0,0,2.32,0,0.1,0,0,0.541,0.662,0.158,0,75.1,1.006,1.342,0
7254,DCAD,7/25/2012,2728,7.473972603,6,4/11/2019,49,396,36480,45200,43843,9:50:00 AM,3.6,33.8,0.99,0.89,Angus,M,37.194544,1,5.67,3.84,4.64,9.69,.,12.8,1.63,0.19,3.46,1.931,0.53,2.38,2.2,0.1,0,0,0.428,1.4,0.682,1.432,0,1.197,1.8,2.344
8849,DCAD,3/14/2017,1035,2.835616438,2,4/18/2019,40,310,35090,26680,43843,3:00:00 PM,3.15,25.4,1.11,1.13,Hostein,F,35.380176,1,4.94,14.59,2.94,19.73,3742,54,0.83,0.35,4.43,0.258,0.17,5.41,0.01,0.17,0,0,1.28,2.154,0.223,0.239,74.1,2.357,2.814,0
8059,DCAD,12/11/2014,1860,5.095890411,4,4/11/2019,57,378,26640,29320,43844,6:30:00 AM,30.45,23.3,0.85,0.81,Angus,M,46.266384,1,3.48,16.81,2.18,21.76,13,66.3,0.73,0.49,3.82,0,0.06,4.68,0,0.36,0,0,1.296,1.996,0.363,0,0,2.446,2.178,0
7773,Control,1/11/2014,2196,6.016438356,5,4/11/2019,52,305,36500,36140,43846,6:00:00 AM,5.05,29.5,0.67,0.81,Hostein,M,48.534344,1,1.65,7.38,0.55,9.87,.,28.5,0.31,0.18,2.07,0,0.06,2.29,0.04,0.22,0.13,0,0.544,0.466,0.053,0.003,0,0.821,1.208,0
